Date,Open,High,Low,Close,Adj Close,Volume
10/1/1985,110.620003,112.160004,110.565002,112.139999,112.139999,153160000
10/2/1985,112.139999,112.540001,110.779999,110.824997,110.824997,164640000
10/3/1985,110.839996,111.184998,110.120003,110.870003,110.870003,147300000
10/4/1985,110.870003,110.870003,109.855003,110.074997,110.074997,147900000
10/7/1985,110.074997,110.135002,108.175003,108.199997,108.199997,128640000
10/8/1985,108.199997,108.269997,106.75,107.160004,107.160004,144100000
10/9/1985,107.160004,108.989998,107.114998,108.629997,108.629997,156200000
10/10/1985,108.629997,109.510002,107.809998,109.434998,109.434998,154840000
10/11/1985,109.434998,111.120003,109.425003,111.050003,111.050003,158220000
10/14/1985,111.050003,113.269997,111.050003,113.184998,113.184998,123120000
10/15/1985,113.184998,113.980003,112.790001,113.379997,113.379997,171360000
10/16/1985,113.379997,114.339996,113.199997,114.315002,114.315002,175120000
10/17/1985,114.315002,115.339996,114.315002,114.739998,114.739998,190940000
10/18/1985,114.739998,114.964996,113.830002,114.32,114.32,180880000
10/21/1985,114.32,114.455002,113.650002,113.68,113.68,142800000
10/22/1985,113.800003,114.889999,113.425003,114.440002,114.440002,157740000
10/23/1985,114.440002,115.525002,114.440002,115.065002,115.065002,202200000
10/24/1985,115.065002,116.105003,115.065002,115.485001,115.485001,190860000
10/25/1985,115.485001,115.544998,113.739998,113.910004,113.910004,165840000
10/28/1985,113.910004,113.910004,113.205002,113.82,113.82,131460000
10/29/1985,113.82,115.735001,113.805,115.400002,115.400002,163400000
10/30/1985,115.400002,116.125,115.339996,115.769997,115.769997,196040000
10/31/1985,115.769997,116.110001,115.154999,115.480003,115.480003,169920000
11/1/1985,115.480003,116.775002,115.480003,116.275002,116.275002,180180000
11/4/1985,116.275002,117.074997,115.824997,116.040001,116.040001,150680000
11/5/1985,116.040001,116.565002,115.879997,116.440002,116.440002,175360000
11/6/1985,116.440002,117.620003,116.440002,117.379997,117.379997,187000000
11/7/1985,117.379997,117.964996,117.379997,117.620003,117.620003,177280000
11/8/1985,117.620003,119.389999,117.584999,119.260002,119.260002,173520000
11/11/1985,119.260002,120.540001,119.18,120.400002,120.400002,160780000
11/12/1985,120.389999,122.010002,120.389999,121.82,121.82,216600000
11/13/1985,121.82,121.915001,120.900002,121.165001,121.165001,186420000
11/14/1985,121.165001,121.915001,120.800003,121.834999,121.834999,196080000
11/15/1985,121.834999,123.099998,121.790001,122.175003,122.175003,190540000
11/18/1985,122.175003,122.279999,121.730003,121.955002,121.955002,164420000
11/19/1985,121.955002,122.800003,121.735001,122.57,122.57,203600000
11/20/1985,122.57,122.794998,122.199997,122.199997,122.199997,195200000
11/21/1985,122.199997,123.805,122.199997,123.610001,123.610001,239800000
11/22/1985,123.610001,124.334999,123.445,123.970001,123.970001,208400000
11/25/1985,123.970001,124.165001,122.815002,123.135002,123.135002,166860000
11/26/1985,123.135002,124.254997,123.089996,123.949997,123.949997,187260000
11/27/1985,123.949997,125.875,123.879997,125.769997,125.769997,206600000
11/29/1985,125.769997,126.434998,125.519997,126.059998,126.059998,115180000
12/2/1985,126.059998,126.279999,124.855003,125.184998,125.184998,171520000
12/3/1985,125.184998,125.419998,124.720001,125.230003,125.230003,169080000
12/4/1985,125.230003,128.054993,125.169998,127.940002,127.940002,234400000
12/5/1985,128.070007,129.889999,127.860001,128.460007,128.460007,283000000
12/6/1985,128.460007,128.539993,126.775002,126.955002,126.955002,221600000
12/9/1985,126.955002,127.644997,126.830002,127.485001,127.485001,209600000
12/10/1985,127.485001,128.524994,127.154999,127.974998,127.974998,223600000
12/11/1985,127.974998,129.649994,127.974998,129.179993,129.179993,253000000
12/12/1985,129.179993,130.100006,129.179993,129.764999,129.764999,234600000
12/13/1985,129.764999,132.169998,129.764999,132.125,132.125,263400000
12/16/1985,132.125,133.184998,132.059998,132.610001,132.610001,230600000
12/17/1985,132.544998,132.729996,131.324997,131.535004,131.535004,242000000
12/18/1985,131.524994,131.975006,130.714996,131.139999,131.139999,275800000
12/19/1985,131.139999,132.029999,130.910004,131.925003,131.925003,229800000
12/20/1985,131.925003,132.580002,131.695007,132.259995,132.259995,231600000
12/23/1985,132.259995,132.259995,130.365005,130.725006,130.725006,198820000
12/24/1985,130.725006,130.725006,129.304993,130.029999,130.029999,128560000
12/26/1985,130.029999,130.634995,129.889999,130.345001,130.345001,107800000
12/27/1985,130.345001,131.589996,130.25,131.485001,131.485001,149820000
12/30/1985,131.485001,132.130005,131.244995,131.945007,131.945007,185640000
12/31/1985,131.945007,132.660004,131.904999,132.294998,132.294998,225400000
1/2/1986,132.294998,132.445007,131.065002,131.255005,131.255005,151620000
1/3/1986,131.255005,131.255005,130,130.550003,130.550003,178360000
1/6/1986,130.550003,130.699997,129.845001,130.354996,130.354996,198480000
1/7/1986,130.354996,132.875,130.330002,132.789993,132.789993,255000000
1/8/1986,132.789993,133.884995,131.149994,131.160004,131.160004,280000000
1/9/1986,131.005005,131.160004,128.054993,128.800003,128.800003,238800000
1/10/1986,128.800003,129.970001,128.789993,129.565002,129.565002,197000000
1/13/1986,129.565002,129.595001,128.630005,129.095001,129.095001,178980000
1/14/1986,129.095001,129.960007,128.994995,129.179993,129.179993,205800000
1/15/1986,129.179993,131.654999,129.005005,131.535004,131.535004,237400000
1/16/1986,131.535004,133.125,131.535004,133.059998,133.059998,247800000
1/17/1986,133.059998,133.600006,132.604996,132.770004,132.770004,225600000
1/20/1986,132.770004,132.789993,131.145004,131.604996,131.604996,178860000
1/21/1986,131.604996,132.014999,130.595001,131.089996,131.089996,221400000
1/22/1986,131.089996,131.779999,129.470001,129.615005,129.615005,215200000
1/23/1986,129.615005,129.615005,128.460007,129.270004,129.270004,222200000
1/24/1986,129.270004,130.539993,129.270004,130.199997,130.199997,236600000
1/27/1986,130.205002,130.985001,129.794998,130.794998,130.794998,221000000
1/28/1986,130.794998,132.044998,130.669998,131.990005,131.990005,230800000
1/29/1986,131.990005,134.130005,131.990005,133.059998,133.059998,264200000
1/30/1986,133.059998,133.160004,132.085007,132.190002,132.190002,218000000
1/31/1986,132.190002,133.220001,132.029999,132.925003,132.925003,218600000
2/3/1986,132.925003,134.425003,132.925003,134.240005,134.240005,215200000
2/4/1986,134.240005,135.690002,134.240005,134.600006,134.600006,250600000
2/5/1986,134.600006,135.789993,134.600006,135.714996,135.714996,210600000
2/6/1986,135.714996,136.940002,135.565002,136.639999,136.639999,239400000
2/7/1986,136.470001,137.485001,135.744995,137.419998,137.419998,222200000
2/10/1986,137.399994,138.244995,137.304993,138.125,138.125,214800000
2/11/1986,138.125,138.610001,137.850006,138.259995,138.259995,226600000
2/12/1986,138.259995,138.764999,138.035004,138.664993,138.664993,244400000
2/13/1986,138.664993,139.294998,138.449997,139.164993,139.164993,257200000
2/14/1986,139.164993,140.630005,139.164993,140.160004,140.160004,244800000
2/18/1986,140.160004,140.764999,139.985001,140.735001,140.735001,252000000
2/19/1986,140.735001,140.919998,139.585007,139.639999,139.639999,273800000
2/20/1986,139.639999,140.024994,138.940002,139.945007,139.945007,249800000
2/21/1986,139.945007,141.235001,139.945007,141.145004,141.145004,293400000
2/24/1986,141.164993,141.175003,139.990005,140.199997,140.199997,255800000
2/25/1986,140.199997,140.199997,138.865005,139.399994,139.399994,237800000
2/26/1986,139.399994,139.634995,138.675003,138.875,138.875,248400000
2/27/1986,138.875,140.529999,138.735001,140.524994,140.524994,249400000
2/28/1986,140.899994,141.830002,140.414993,140.425003,140.425003,261200000
3/3/1986,140.425003,140.664993,139.600006,139.740005,139.740005,239200000
3/4/1986,139.740005,141.770004,139.699997,140.544998,140.544998,270000000
3/5/1986,140.544998,140.615005,139.565002,140.244995,140.244995,234800000
3/6/1986,140.244995,141.345001,140.169998,140.800003,140.800003,240600000
3/7/1986,140.800003,141.164993,140.240005,140.710007,140.710007,251200000
3/10/1986,140.710007,142.580002,140.710007,142.434998,142.434998,225800000
3/11/1986,142.434998,145.5,142.434998,145.345001,145.345001,269600000
3/12/1986,145.345001,147.320007,145.339996,146.619995,146.619995,309800000
3/13/1986,146.619995,147.050003,145.880005,147.009995,147.009995,280200000
3/14/1986,147.009995,147.449997,146.554993,147,147,304400000
3/17/1986,147,147,145.570007,146.365005,146.365005,259000000
3/18/1986,146.365005,147.824997,146.115005,147.625,147.625,279000000
3/19/1986,147.625,148.570007,147.425003,147.475006,147.475006,273800000
3/20/1986,147.475006,148.535004,147.270004,147.800003,147.800003,302800000
3/21/1986,147.800003,148.785004,147.559998,148.005005,148.005005,265800000
3/24/1986,148.005005,148.145004,146.205002,147.089996,147.089996,219200000
3/25/1986,147.089996,147.710007,146.625,147.485001,147.485001,220000000
