Date,Open,High,Low,Close,Adj Close,Volume
2009-01-27,2.420000,2.507500,2.375000,2.460833,1.933524,165728400
2009-01-28,2.625833,2.752500,2.594167,2.680000,2.105728,189104400
2009-01-29,2.579167,2.604167,2.434167,2.446667,1.922395,157486800
2009-01-30,2.478333,2.510000,2.244167,2.293333,1.801917,200570400
2009-02-02,2.187500,2.318333,2.166667,2.275833,1.788167,156507600
2009-02-03,2.320833,2.413333,2.241667,2.360833,1.854953,160300800
2009-02-04,2.408333,2.500000,2.312500,2.327500,1.828762,184461600
2009-02-05,2.279167,2.500833,2.235833,2.451667,1.926323,242638800
2009-02-06,2.480833,2.687500,2.466667,2.651667,2.083467,174416400
2009-02-09,2.649167,2.730000,2.601667,2.669167,2.097217,123003600
2009-02-10,2.595833,2.667500,2.247500,2.297500,1.805191,261804000
2009-02-11,2.333333,2.375000,2.240833,2.337500,1.836620,170080800
2009-02-12,2.225833,2.358333,2.135833,2.351667,1.847751,226532400
2009-02-13,2.334167,2.394167,2.270833,2.280000,1.791441,137535600
2009-02-17,2.073333,2.093333,1.958333,1.968333,1.546558,262568400
2009-02-18,2.026667,2.030000,1.906667,1.962500,1.541975,197564400
2009-02-19,2.023333,2.047500,1.885833,1.898333,1.491557,187294800
2009-02-20,1.790833,1.937500,1.725000,1.835833,1.442450,292909200
2009-02-23,1.905833,1.923333,1.635833,1.655833,1.301020,267398400
2009-02-24,1.685000,1.857500,1.657500,1.834167,1.441141,277934400
2009-02-25,1.802500,1.894167,1.699167,1.776667,1.395962,343731600
2009-02-26,1.845833,1.885833,1.688333,1.695833,1.332450,297150000
2009-02-27,1.590000,1.700000,1.574167,1.586667,1.246676,333808800
2009-03-02,1.492500,1.520000,1.358333,1.371667,1.077746,332221200
2009-03-03,1.430000,1.430000,1.305833,1.340000,1.052864,329433600
2009-03-04,1.407500,1.498333,1.362500,1.425000,1.119651,362257200
2009-03-05,1.340000,1.387500,1.224167,1.258333,0.988697,382197600
2009-03-06,1.292500,1.348333,1.166667,1.259167,0.989352,396495600
2009-03-09,1.209167,1.325833,1.202500,1.216667,0.955959,351142800
2009-03-10,1.300000,1.440833,1.290000,1.432500,1.125543,385700400
2009-03-11,1.492500,1.533333,1.420000,1.458333,1.145841,447939600
2009-03-12,1.458333,1.649167,1.422500,1.635833,1.285306,341392800
2009-03-13,1.673333,1.695000,1.585000,1.673333,1.314771,373284000
2009-03-16,1.731667,1.791667,1.645000,1.652500,1.298402,317324400
2009-03-17,1.660000,1.808333,1.622500,1.802500,1.416260,275514000
2009-03-18,1.777500,1.995833,1.730000,1.929167,1.515785,387838800
2009-03-19,2.002500,2.004167,1.845833,1.864167,1.464713,294087600
2009-03-20,1.890000,1.898333,1.729167,1.737500,1.365188,223050000
2009-03-23,1.882500,2.120833,1.860833,2.117500,1.663761,296656800
2009-03-24,2.025000,2.122500,1.976667,1.978333,1.559509,272170800
2009-03-25,2.037500,2.145000,1.865000,2.033333,1.602866,372982800
2009-03-26,2.110000,2.185000,2.049167,2.173333,1.713227,333250800
2009-03-27,2.085833,2.124167,2.029167,2.044167,1.611406,249626400
2009-03-30,1.908333,1.909167,1.781667,1.842500,1.452433,216735600
2009-03-31,1.902500,2.000833,1.862500,1.885000,1.485936,222627600
2009-04-01,1.820833,2.029167,1.804167,1.998333,1.575275,260770800
2009-04-02,2.170833,2.268333,2.135000,2.176667,1.715855,334137600
2009-04-03,2.178333,2.250000,2.125833,2.247500,1.771692,205558800
2009-04-06,2.176667,2.211667,2.100000,2.199167,1.733592,206715600
2009-04-07,2.085833,2.122500,2.030000,2.033333,1.602866,215980800
2009-04-08,2.070833,2.133333,2.036667,2.103333,1.658046,220068000
2009-04-09,2.274167,2.355833,2.247500,2.350000,1.852492,244622400
2009-04-13,2.282500,2.417500,2.258333,2.366667,1.865631,182120400
2009-04-14,2.291667,2.362500,2.221667,2.242500,1.767751,226063200
2009-04-15,2.195833,2.318333,2.176667,2.312500,1.822931,229102800
2009-04-16,2.361667,2.470000,2.278333,2.415000,1.903731,259408800
2009-04-17,2.440000,2.510833,2.385833,2.470000,1.947088,211032000
2009-04-20,2.330833,2.342500,2.145833,2.152500,1.696805,214047600
2009-04-21,2.102500,2.283333,2.095833,2.278333,1.795998,271872000
2009-04-22,2.209167,2.389167,2.199167,2.237500,1.763809,284221200
2009-04-23,2.264167,2.308333,2.170000,2.301667,1.814392,259046400
2009-04-24,2.354167,2.462500,2.327500,2.411667,1.901105,262822800
2009-04-27,2.329167,2.444167,2.314167,2.350000,1.852492,235772400
2009-04-28,2.275000,2.406667,2.258333,2.334167,1.840012,191420400
2009-04-29,2.395833,2.553333,2.383333,2.469167,1.946431,213756000
2009-04-30,2.571667,2.620833,2.441667,2.473333,1.949715,235899600
2009-05-01,2.486667,2.549167,2.424167,2.522500,1.988474,139549200
2009-05-04,2.572500,2.775833,2.564167,2.774167,2.186861,203774400
2009-05-05,2.745833,2.789167,2.686667,2.744167,2.163212,181232400
2009-05-06,2.855000,2.890833,2.744167,2.874167,2.265691,247142400
2009-05-07,2.967500,2.980000,2.700833,2.756667,2.173067,247902000
2009-05-08,2.869167,2.973333,2.807500,2.952500,2.327440,249042000
2009-05-11,2.825833,2.868333,2.760000,2.786667,2.196715,160106400
2009-05-12,2.820833,2.841667,2.651667,2.763333,2.178321,210037200
2009-05-13,2.634167,2.661667,2.525000,2.550833,2.010808,234828000
2009-05-14,2.545000,2.662500,2.523333,2.600000,2.049566,199932000
2009-05-15,2.600000,2.655833,2.491667,2.536667,1.999641,178242000
2009-05-18,2.615000,2.768333,2.599167,2.759167,2.175036,193011600
2009-05-19,2.750833,2.832500,2.721667,2.756667,2.173067,162718800
2009-05-20,2.826667,2.914167,2.692500,2.709167,2.135622,232425600
2009-05-21,2.607500,2.641667,2.501667,2.583333,2.036428,203521200
2009-05-22,2.609167,2.653333,2.540833,2.563333,2.020662,161150400
2009-05-26,2.515833,2.789167,2.511667,2.776667,2.188832,206808000
2009-05-27,2.776667,2.810833,2.610000,2.616667,2.062706,203434800
2009-05-28,2.693333,2.759167,2.569167,2.721667,2.145476,230176800
2009-05-29,2.770833,2.875000,2.708333,2.860833,2.255179,156828000
2009-06-01,2.980000,3.125000,2.956667,3.079167,2.427291,167692800
2009-06-02,3.054167,3.150833,3.030833,3.106667,2.448969,155802000
2009-06-03,3.018333,3.030000,2.889167,2.979167,2.348462,157880400
2009-06-04,3.007500,3.067500,2.942500,3.049167,2.403642,175689600
2009-06-05,3.157500,3.170000,2.984167,3.057500,2.410212,223023600
2009-06-08,2.987500,3.105000,2.910833,3.026667,2.385905,159536400
2009-06-09,3.067500,3.120000,3.011667,3.074167,2.423349,155650800
2009-06-10,3.150833,3.154167,2.933333,3.049167,2.403642,175136400
2009-06-11,3.065833,3.209167,3.062500,3.091667,2.437145,204170400
2009-06-12,3.047500,3.112500,3.001667,3.110000,2.451597,126085200
2009-06-15,3.000833,3.002500,2.845833,2.885833,2.274887,174684000
2009-06-16,2.921667,2.933333,2.765833,2.775000,2.187518,182605200
2009-06-17,2.761667,2.831667,2.694167,2.767500,2.181606,208708800
2009-06-18,2.778333,2.857500,2.730833,2.813333,2.217735,159696000
2009-06-19,2.894167,2.909167,2.803333,2.842500,2.240728,144078000
2009-06-22,2.752500,2.765000,2.591667,2.596667,2.046939,168792000
2009-06-23,2.604167,2.634167,2.543333,2.591667,2.050367,173306400
2009-06-24,2.651667,2.737500,2.612500,2.652500,2.098494,191844000
2009-06-25,2.615000,2.836667,2.605833,2.826667,2.236284,219787200
2009-06-26,2.795000,2.849167,2.762500,2.807500,2.221121,133370400
2009-06-29,2.841667,2.900833,2.791667,2.887500,2.284412,113755200
2009-06-30,2.887500,2.923333,2.763333,2.830000,2.238921,179834400
2009-07-01,2.864167,2.941667,2.850000,2.862500,2.264633,120717600
2009-07-02,2.748333,2.749167,2.625000,2.626667,2.078056,146991600
2009-07-06,2.540833,2.626667,2.519167,2.618333,2.071463,133627200
2009-07-07,2.606667,2.618333,2.459167,2.463333,1.948837,159948000
2009-07-08,2.505000,2.524167,2.370000,2.463333,1.948837,206892000
2009-07-09,2.505833,2.533333,2.450833,2.470833,1.954770,171753600
2009-07-10,2.432500,2.500833,2.404167,2.455000,1.942244,135909600
2009-07-13,2.483333,2.633333,2.418333,2.628333,2.079375,146958000
2009-07-14,2.652500,2.684167,2.599167,2.680833,2.120910,132357600
2009-07-15,2.788333,2.932500,2.775833,2.914167,2.305509,139839600
2009-07-16,2.888333,3.033333,2.872500,2.996667,2.370778,118136400
2009-07-17,2.991667,3.015000,2.941667,2.995000,2.369459,111025200
2009-07-20,3.059167,3.108333,3.004167,3.091667,2.445935,138030000
2009-07-21,3.165000,3.172500,3.020000,3.132500,2.478240,119028000
2009-07-22,3.069167,3.193333,3.068333,3.139167,2.483515,140370000
2009-07-23,3.149167,3.391667,3.140833,3.351667,2.651632,175532400
2009-07-24,3.295833,3.400000,3.253333,3.393333,2.684595,111655200
2009-07-27,3.385000,3.439167,3.322500,3.424167,2.708989,121465200
2009-07-28,3.355000,3.429167,3.290833,3.404167,2.693166,139650000
2009-07-29,3.328333,3.377500,3.283333,3.345000,2.646357,126027600
2009-07-30,3.468333,3.570000,3.445833,3.453333,2.732064,166808400
2009-07-31,3.457500,3.533333,3.421667,3.463333,2.739975,151978800
2009-08-03,3.575000,3.648333,3.518333,3.635833,2.876447,131858400
